,DCE,ADC,T1w,T2w,T1w Z,T2w Z
Idmn,0.3138368029192,0.05757589533865893,0.7935158574228034,0.8251852290782034,0.020823254545748866,0.02302186171969586
Idn,0.5330448474237278,0.1053084767884892,1.257313791146919,1.6344243452954,0.22858789963602982,0.19565049606679286
ShortRunEmphasis,0.9687281347130663,0.6848586435454469,1.004240390630413,2.0895450975548746,,
RunPercentage,1.3376966377287123,0.9344394683134267,1.5213640446500987,3.432909919103035,,
RunLengthNonUniformityNormalized,2.4898410245449245,1.7735224009811759,2.386021647229101,,,
SmallAreaEmphasis,,,,4.688819890552402,,
Imc2,,,,,0.8757475452540808,1.51887895376112
MCC,,,,,0.9639991771392096,0.9460458423523798
Correlation,,,,,1.240423513906674,
ZoneEntropy,,,,,,2.8231799410415173
