,DCE,ADC,T1w,T2w,T1w Z,T2w Z
Mean,0.3784776779530837,0.6751550872170499,0.5352067525599465,0.5663278393415359,0.4974951346955326,0.8017280472854643
MeanAbsoluteDeviation,0.10531734140041737,0.7368227087637867,0.2577261053805969,0.5491843131043417,0.3746653703392522,0.7169220517289486
Median,0.42593903855773335,0.5950767586535384,0.6509248503261548,0.6047430830039526,0.5716346585175455,0.8460119087109288
Minimum,-0.20968855507827247,,,,0.7001733599853542,0.06916388569280729
Range,0.01936853133046771,0.5833450923925423,0.5171967510482084,0.4472848286047816,0.6947344142157851,0.5120967260157312
RobustMeanAbsoluteDeviation,-0.10080901308983238,0.7476601124525316,0.2351087540131301,0.5463335175424968,0.296384233458393,0.6961403253968568
RootMeanSquared,0.23353138526595263,0.7037443978898358,0.4094865658179491,0.5356955690953202,0.43075354702569835,0.7540886765394959
RunEntropy,0.1613523156758929,0.6565784561301758,0.7153096100893145,0.7659899323987187,0.5111581229998109,0.6546406793996505
RunLengthNonUniformity,0.9883551536890826,0.9920985089517619,0.9378732678173544,0.9099272649214502,0.6046761992836469,0.19883031671441498
RunLengthNonUniformityNormalized,0.14800300922016937,0.6123109470584964,0.7875126963944568,0.7210173620167891,0.6456874312285622,0.5940119884425061
RunPercentage,0.10794002135160385,0.6743796753022364,0.7596668280117821,0.699968210045594,0.7712124938260383,0.653204053825206
RunVariance,0.520006311582679,0.8078654123767833,0.6409594170547182,0.698694172783498,0.4693105262904617,0.3961098062296946
ShortRunEmphasis,0.13769473019797066,0.6052788815281132,0.7701380544701607,0.734740128713919,0.6416017095546046,0.5985935238665567
ShortRunHighGrayLevelEmphasis,-0.11039695982892696,-0.1796445599997542,0.2256246103453083,0.5363339879192645,0.6612489702302012,0.708568058034727
ShortRunLowGrayLevelEmphasis,0.14463645611282266,0.13601293228483569,0.15860636795268054,0.23097859694249806,0.5992640851571114,0.44888543875907266
SizeZoneNonUniformity,0.911800169762855,0.9865644268693486,0.5143937554165408,0.43034300758583227,0.6676284722289864,0.3654063876377214
SizeZoneNonUniformityNormalized,0.230262631484026,0.8017186300982725,0.487907208674131,0.6287252571639208,0.759606658983597,0.6830703930328321
Skewness,0.5316319954218026,0.7184745241099437,0.7416143872616691,0.12217949373022563,0.7416143872616686,0.12217949373022992
SmallAreaEmphasis,0.2224516554793067,0.803254228839909,0.4802919187343638,0.6226278190299036,0.6796943037028428,0.6708224042067398
SmallAreaHighGrayLevelEmphasis,0.22657056628335806,0.8278352061364018,0.3095897110139846,0.546288638463452,0.3313177868120499,0.7963025950115737
SmallAreaLowGrayLevelEmphasis,0.3194589281511823,0.2953961623551765,0.2116588900644387,0.515049649493486,0.5097630024201026,0.254308751715835
SmallDependenceEmphasis,0.22105241521727345,0.7018681585510096,0.7926086625415458,0.631375899437304,0.6051268618524283,0.5999318024641715
SmallDependenceHighGrayLevelEmphasis,0.22625981215756,0.7150165021732683,0.7749683980357693,0.6251682453307362,0.23728167430527222,0.6571108738862519
SmallDependenceLowGrayLevelEmphasis,0.24777744428611742,0.7506125476938209,0.7653733146100783,0.6274759117501868,0.6489097154198616,0.42125684247695994
Strength,0.9429108634984442,0.9508769853674176,0.9302065474234305,0.9501077260299972,0.8572519559032457,0.4259532129603689
SumAverage,-0.03551558784616647,0.4441699350305994,0.21362659345406898,0.3970431845931253,0.6669377555506113,0.5525700662567524
SumEntropy,0.20488957601928223,0.5942737236654968,0.48000981044297686,0.35076270437704044,0.8052430336346121,0.620173710025918
SumSquares,-0.04878753786137514,0.61436737525924,0.1994605594369255,0.46810389761014964,0.733590567634663,0.6343976908010026
TotalEnergy,0.29377266691042847,0.6446211474960126,0.6976821173708131,0.5614274444864684,0.8828031244733251,0.6673083651961685
Uniformity,0.1399860369622669,0.5374942699784337,0.7561456466653131,0.05695083177041356,0.7566479443701359,0.02999718444121895
Variance,0.19087794270456823,0.6745087068511495,0.19204267594119737,0.41583722638862625,0.423038954694193,0.6343485313094439
ZoneEntropy,0.2207636999729869,0.7494192647615179,0.5231942496547147,0.6686562819250068,0.24598066993798998,-0.05154751141158731
ZonePercentage,0.217742543424895,0.6856221336805933,0.7936337924506546,0.6107123822956888,0.6014718450821043,0.5416315267437061
ZoneVariance,-0.0013563348828772542,0.6364776726080593,0.7118796585554343,0.701982404375365,0.46741675223038925,0.5136860633252078
