,Mean,Std,Lower CI value,Higher CI value
90Percentile,-0.00416092106201256,0.21466993183853655,-15.291959429149804,14.459775216747289
Energy,0.11975030514591715,0.5631388856680691,-27.048503316369583,50.99856434555301
Entropy,-0.013526538810192761,0.0751856379404535,-6.5627527757013375,3.8574450136627845
InterquartileRange,-0.18305448119284057,0.3384647832615906,-41.75986097612042,5.148964737552306
Kurtosis,0.16176101673638965,0.28246203381226154,-3.3975186409276463,35.74972198820557
Maximum,-0.03147387497853945,0.32305321119925895,-25.533832897516362,19.239057901808472
MeanAbsoluteDeviation,0.023115268689271003,0.22288414904166132,-13.133556665295378,17.75661040314958
Mean,-0.006106942060779996,0.3566702217868636,-25.326679588412503,24.105291176256507
Median,-0.1744006220282216,0.5830299141236486,-57.8419739821435,22.961849576499187
Minimum,-0.053516263583506564,0.24272519907623272,-22.171624513053224,11.468371796351914
Range,-0.03305246368261003,0.3160057697317054,-25.20332899005463,18.59283625353262
RobustMeanAbsoluteDeviation,-0.12387075150282553,0.20707816925501368,-26.7368601664423,1.9627098658771964
RootMeanSquared,0.06347286002578512,0.29476095400860663,-14.078605999454663,26.773178004611687
Skewness,0.13254326441562272,0.16861899326698865,1.5696263511204998,24.939026532004043
TotalEnergy,0.11859721300950324,0.5629058166309373,-27.1476616697402,50.86710427164085
Uniformity,0.06208990599038378,0.1226158943887836,-2.287857380510739,14.705838578587496
Variance,0.15388317278973698,0.5295773758716279,-21.309522577923214,52.086157135870614
ClusterProminence,0.14779065742296482,0.8488510522517092,-44.04331111362647,73.60144259821944
ClusterShade,-0.10542437985546894,0.7715034660486046,-64.00490057563248,42.92002460453869
ClusterTendency,-0.006793684052479154,0.403810682311385,-28.662021039486717,27.303284228990886
Contrast,-0.182018993125606,0.7107224464112712,-67.45245212965304,31.048653504531842
Correlation,0.008258422397483195,0.07334311285812595,-4.2565761808721705,5.908260660368809
DifferenceAverage,-0.26096411249413637,0.38783745014345034,-52.972175366877906,0.7793528680506256
DifferenceEntropy,-0.1901312653979263,0.25830301498582564,-36.91261226253859,-1.1136408170466738
DifferenceVariance,-0.15694575249583434,0.7271849343832636,-66.08592028093526,34.6967697817684
Id,0.024852853630309427,0.027069728556325313,0.6094488775793803,4.3611218484825045
Idm,0.026490719967437425,0.028591498441411987,0.6677822383874547,4.63036175510003
Idmn,-2.1829775876208764e-05,0.0008359626985877782,-0.060112237100682406,0.05574628192544065
Idn,0.0015380639856470224,0.0020794226023450758,0.00970976390376574,0.29790303322563877
Imc1,0.06947304617434769,0.09526882410958704,0.3455119242061405,13.549097310663397
