,Mean,Std,Lower CI value,Higher CI value
Entropy,0.02254343006338677,0.4427488360891497,-28.426586021048045,32.9352720337254
Uniformity,-0.02068851610884236,0.3262748246381117,-24.678543432026157,20.540840210257684
SumEntropy,-2.5952757305953023e-05,0.004587845622026151,-0.3205167572670224,0.3153262058058318
ZoneVariance,0.6689916134805142,0.9697034735625932,-0.2978610377820212,134.09618373388486
GrayLevelNonUniformity.1,-0.00408526255864147,0.07335408142946727,-5.491704759699824,4.67465224797153
RunLengthNonUniformity,-0.014386200949323575,0.08955642661497046,-7.644563837643896,4.767323647779182
Patient,0.0,0.0,0.0,0.0
