,Mean,Std,Lower CI value,Higher CI value
10Percentile,0.07392412039347157,0.737731492130104,-43.729772157099376,58.51459623579369
90Percentile,-0.04504223989318464,0.38497349973177125,-31.18152646858885,22.173078489951923
Entropy,0.06371212724471446,0.8301807168100493,-51.157375893264636,63.89980134220752
InterquartileRange,-0.07540948556890822,0.4365071054733985,-37.78934771989327,22.70745060611163
Kurtosis,-0.15871803665472428,0.47916333759733054,-49.076128905955464,17.332521575010606
Maximum,-0.08446522763294678,0.7067366716796635,-57.420875482968945,40.527829956379584
MeanAbsoluteDeviation,-0.07185379537458098,0.48833298004003584,-41.02512858046584,26.654369505549642
Mean,-0.007006456893326268,0.3276167585241049,-23.403328784442145,22.002037405776893
Minimum,-0.07707949483105328,0.24489332921347232,-24.678191391016526,9.262292424805871
Range,-0.08383484305600009,0.7008363309962347,-56.94896427623506,40.18199566503504
RobustMeanAbsoluteDeviation,-0.07374487992105047,0.43663462032149425,-37.63172348325897,22.882747499048875
RootMeanSquared,-0.04484480645571133,0.4631179453118577,-36.57691692825226,27.60795563711
Skewness,-0.0766817396712744,0.18563948734681696,-20.532334122302437,5.1959861880475575
Uniformity,0.02911745342798317,0.21906953647403538,-12.268999026835726,18.092489712432357
ClusterProminence,0.007570030524280562,0.10141340169045299,-6.270587143346374,7.784593248202484
ClusterShade,0.262675053647227,1.7240907320815,-93.20588694277664,145.74089767222205
ClusterTendency,0.0022205323635701288,0.05706658770292968,-3.7324595357469916,4.176566008461018
Correlation,0.10639799025008441,0.9450953484658281,-54.85196729226046,76.13156534227736
DifferenceVariance,0.0038018311816207977,0.034356091077994526,-2.0005725295165524,2.760938765840712
Imc1,0.3051916778904251,1.160676422526695,-49.9116047858904,110.9499403639754
Imc2,0.28810053985182554,0.6973167896382303,-19.511534212483177,77.1316421828483
MCC,0.38691408909378117,0.6576344419687136,-6.880332889496909,84.26315070825314
MaximumProbability,0.3831113105375499,0.46614278890554034,6.009083804195931,70.61317830331404
SumEntropy,-1.8158508951732482e-05,0.004927697023345282,-0.3432878330175142,0.33965613122716765
GrayLevelNonUniformity,-0.04890007684789264,0.1725584713966679,-16.847699681814603,7.067684312236075
GrayLevelVariance,-1.1959001115013652e-05,0.005781923242642641,-0.4018627391624282,0.39947093893942553
LargeAreaEmphasis,0.8005850147713491,0.9565558082398116,13.772565815339465,146.34443713893037
LargeAreaHighGrayLevelEmphasis,0.7702377209345502,0.8799068027799568,16.049341521782633,137.99820266512742
LargeAreaLowGrayLevelEmphasis,0.3792623720567876,0.9573150527061666,-28.412311413369018,104.26478582472653
LowGrayLevelZoneEmphasis,-0.0014784026308550433,0.007650471460640103,-0.6779908874965955,0.3823103613255869
SizeZoneNonUniformity,-0.06514252206959775,0.22735681740394986,-22.269275845821586,9.240771431902036
SizeZoneNonUniformityNormalized,-0.017267091837442336,0.06487148456675719,-6.2220737147378955,2.768655347249428
SmallAreaEmphasis,-0.008641881777655484,0.03243891791722221,-3.112090503460467,1.3837141479293704
SmallAreaHighGrayLevelEmphasis,-0.007726433699732116,0.029827713758582557,-2.8395984792397426,1.294311739293319
SmallAreaLowGrayLevelEmphasis,-0.009626977861699392,0.029422010470373627,-3.001539091904733,1.0761435195648543
ZoneEntropy,0.006494872612249765,0.02391331577847457,-1.0076209780412573,2.3065955004912104
ZoneVariance,0.9046340395829205,1.016983353185391,19.99005306995215,160.93675484663197
GrayLevelNonUniformity.1,-2.466768787492274e-05,0.07241204703372725,-5.020365619507973,5.015432081932988
HighGrayLevelRunEmphasis,0.0048412379475816425,0.01750738121808033,-0.7290758272938506,1.697323416810179
LongRunLowGrayLevelEmphasis,-0.012096528865960323,0.028207031016517378,-3.1643004116700664,0.7449946384780016
LowGrayLevelRunEmphasis,-0.01925241486276027,0.025204359124711497,-3.6718144650253914,-0.17866850752666258
RunLengthNonUniformity,-0.016414576636684667,0.09014097485467032,-7.887908532753804,4.604993205416871
RunVariance,0.24147312430119416,0.36966424671357356,-1.4691129399922898,49.76373780023112
ShortRunHighGrayLevelEmphasis,0.001179314964036232,0.009187799906871384,-0.5187505541930976,0.7546135470003439
ShortRunLowGrayLevelEmphasis,-0.020610272206821732,0.029439744225015035,-4.101097412916925,-0.020957028447421422
Busyness,-0.05317670113577476,0.1694361280736039,-17.058994757183566,6.423654530028615
Coarseness,0.05087778978328237,0.1480953422027148,-5.174704653572594,15.350262610229068
Strength,0.03337599351260026,0.1334422566249664,-5.9094772552622,12.58467595778225
DependenceNonUniformity,-0.06227433219576301,0.20365702893650608,-20.34014530691252,7.88527886775992
DependenceVariance,0.3332476348212396,0.47581992203018963,0.3521251199862241,66.2974018442617
GrayLevelNonUniformity.2,0.003576702640794887,0.07135139910609845,-4.586729435117369,5.302069963276345
HighGrayLevelEmphasis,0.0047816983889840394,0.01838356648060324,-0.795746324142766,1.7520860019395739
LargeDependenceLowGrayLevelEmphasis,0.023141813351961225,0.23553867225758496,-14.007815918535254,18.6361785889275
Patient,0.0,0.0,0.0,0.0
