,Mean,Std,Lower CI value,Higher CI value
90Percentile,0.0976439581399037,0.36159414896595604,-15.292800313587826,34.82159194156856
Energy,0.25528342921198177,0.7428782153969941,-25.950491001693386,77.00717684408974
Entropy,-0.013374268428755876,0.07506432876007116,-6.539119440238933,3.864265754487757
InterquartileRange,-0.06915695927225547,0.4542411446450986,-38.39300130712943,24.56160945267834
Kurtosis,0.16176101673639331,0.2824620338122648,-3.3975186409275078,35.749721988206176
Maximum,0.08354777057910234,0.4314026750469288,-21.53990312296436,38.24945723878483
MeanAbsoluteDeviation,0.14105258048116173,0.41137359354392655,-14.401477596290748,42.6119936925231
Mean,0.07752297370075983,0.3632658132829891,-17.4207391845975,32.92533392474947
Median,0.0028502310014915065,0.3847209387383591,-26.374777795192955,26.94482399549126
Minimum,0.0,0.0,0.0,0.0
Range,0.08354777057910234,0.4314026750469288,-21.53990312296436,38.24945723878483
RobustMeanAbsoluteDeviation,-0.0045028256073860445,0.3773735517376198,-26.60093551320269,25.700370391725485
RootMeanSquared,0.1404852830551141,0.3971042101351536,-13.46938951726948,41.5664461282923
Skewness,0.13254326441562697,0.16861899326699192,1.5696263511206967,24.9390265320047
TotalEnergy,0.2541652064520513,0.7426442022733785,-26.0460969955601,76.87913828597036
Uniformity,0.06200920530046191,0.12256813773471095,-2.292618082216654,14.694459142309036
Variance,0.353740295178121,0.8323726714288202,-22.306453805472614,93.05451284109681
Autocorrelation,0.016418896238367005,0.07660292088740608,-3.6664219683450834,6.950201216018484
ClusterProminence,0.04864256956997084,0.2888434625903705,-15.151573810710191,24.88008772470436
ClusterShade,-0.41529713505350774,1.932963433829975,-175.4772455863381,92.41781857563656
Contrast,-0.07081262188858994,0.14818900496576204,-17.35023631909957,3.1877119413815795
Correlation,0.09520145820835131,0.18413894055947386,-3.240031747075704,22.280323388745966
DifferenceAverage,-0.06739262567746598,0.13366673316729055,-16.001894605027704,2.5233694695345075
DifferenceEntropy,-0.02493622417770668,0.0760816612624738,-7.765812560828709,2.778567725287374
DifferenceVariance,-0.0368756500675454,0.13745996275377528,-13.213054443629327,5.837924430120245
Id,0.056060082256828174,0.12537389555774495,-3.0819594841174127,14.293975935483047
Idm,0.07714201688113506,0.17044331055061201,-4.096917140312286,19.525320516539296
Idmn,0.00447870548890836,0.009569455832857777,-0.21525890805369555,1.1110000058353675
Idn,0.008312726999946347,0.017846520748759302,-0.4054280925247093,2.0679734925139788
Imc1,0.13780231476975383,0.30710131558246967,-7.500803953472693,35.06126690742346
Imc2,0.038793454556989626,0.08320196731550307,-1.8862567233927006,9.644947634790627
InverseVariance,0.04563667682856054,0.10833627657783292,-2.9436532671792706,12.070988632891378
JointAverage,0.0031954567610056484,0.06031326252818245,-3.8599501829573404,4.49904153515847
JointEnergy,0.09792981620465976,0.44783367563225357,-21.24030881009382,40.82627205102577
JointEntropy,-0.009754747426380148,0.05832314176610636,-5.017062268843994,3.0661127835679647
MCC,0.04974299430824467,0.14290335321163347,-4.928397719979291,14.876996581628225
MaximumProbability,0.027282781950519346,0.431863182377693,-27.198313515746868,32.654869905850745
SumAverage,0.0031954567610069148,0.060313262528181054,-3.859950182957117,4.499041535158501
SumEntropy,0.0025743232864758585,0.00858015813106627,-0.33714229516913974,0.8520069524643116
GrayLevelNonUniformity,-0.06893605161406592,0.33685472105198216,-30.236446399401416,16.44923607658823
GrayLevelNonUniformityNormalized,-0.012956404864399982,0.027500047775134775,-3.201296572385677,0.6100155995056809
GrayLevelVariance,-0.009859043612896074,0.02405370868338796,-2.6527413325151254,0.6809326099359106
HighGrayLevelZoneEmphasis,0.010755290491655205,0.024288010286161947,-0.607544194772105,2.758602293103146
LargeAreaEmphasis,0.25639827754224936,1.1235939988009598,-52.221263959336525,103.50091946778642
LargeAreaHighGrayLevelEmphasis,0.4104026167772985,1.1623384594308617,-39.505684178623866,121.58620753408358
LargeAreaLowGrayLevelEmphasis,0.2851595399311584,1.3450346934445794,-64.69019496813561,121.7221029543673
LowGrayLevelZoneEmphasis,-0.03389202529066769,0.06683774725119174,-8.020822112480689,1.2424170543471509
SizeZoneNonUniformity,-0.031164639608383123,0.42572996685693504,-32.61804551968687,26.38511759801025
SizeZoneNonUniformityNormalized,0.027481284857130427,0.10022701954858605,-4.197249622017299,9.693506593443384
SmallAreaEmphasis,0.015803993351150868,0.05432065674695486,-2.183830129824213,5.3446288000543865
SmallAreaHighGrayLevelEmphasis,0.025904186912203683,0.07288405360125152,-2.46018854587689,7.641025928317627
SmallAreaLowGrayLevelEmphasis,-0.01051101971891074,0.03901142193531247,-3.7544555893216027,1.652251645539455
ZoneEntropy,-0.0032362450732523044,0.022468121215039376,-1.8805858727494467,1.2333368580989856
ZonePercentage,-0.054648888732020055,0.3421214468532016,-29.172695589008686,18.242917842604676
ZoneVariance,0.25649461995436973,1.1237184232459356,-52.220251892265715,103.51917588313965
GrayLevelNonUniformity.1,-0.009809064127807757,0.12853316370371504,-9.887800235682013,7.925987410120461
GrayLevelNonUniformityNormalized.1,-0.01238411317472402,0.13231216833370296,-10.40717680077362,7.930354165828817
HighGrayLevelRunEmphasis,0.005094584962137194,0.06713182256587256,-4.142539466820858,5.1614564592482965
LongRunEmphasis,0.07678145983663621,0.19442324938498792,-5.794697826260302,21.150989793587545
LongRunHighGrayLevelEmphasis,0.08043833101761752,0.18778298789885722,-4.968864063444073,21.056530266967577
LongRunLowGrayLevelEmphasis,0.09013956700104522,0.460296279517825,-22.88294811889075,40.9108615190998
