,DCE,ADC,T1w,T2w,T1w Z,T2w Z
GrayLevelNonUniformityNormalized,0.0015908617899551925,0.006468967742024208,0.9238195758131216,1.187801559169713,,
GrayLevelNonUniformityNormalized.1,0.016565538733936368,0.02530236007109241,,,,
JointEntropy,0.1345877287581928,0.03932632623000946,,,,
HighGrayLevelZoneEmphasis,0.1628012046679861,,0.7025244752391309,0.8504927161862903,,
ShortRunEmphasis,0.17517232866108864,,,,,
SumEntropy,,0.022876304052452084,0.2988103752645234,0.6386440677955677,,
DifferenceEntropy,,0.04397060761593237,,,,
GrayLevelVariance,,,0.6115383563483123,1.2383338452912884,,
Idmn,,,0.9146562554439848,0.9520292741277803,0.022771249476181345,0.026940128992297925
Idn,,,,,0.262572120395147,0.2227021751098377
Imc2,,,,,0.851837220097708,0.8925432909506237
MCC,,,,,1.004379279296377,1.2330891385217473
Correlation,,,,,1.2562429885035924,
SumAverage,,,,,,2.096132649014649
