,ADC,DCE,T1w,T2w
ShortRunEmphasis,0.596362108323633,0.8142997235770324,1.028651974700742,2.1370928243176888
ShortRunHighGrayLevelEmphasis,65.29700752022761,65.4368376865967,65.0598946187309,65.08093118412859
ShortRunLowGrayLevelEmphasis,35.068486521106614,35.378589886355314,37.46386776316095,30.53326203026525
Busyness,66.80365955254378,67.02524783119067,69.49851100520827,67.15432116564915
Coarseness,6.97252129412116,11.346669016965933,11.88323794683901,15.618769784718546
Complexity,85.23787435078496,85.27141985714908,86.50780051094776,87.81691682529734
Contrast.1,35.78602636714541,35.87444329452557,37.314411644199055,37.1142517590165
Strength,66.2343653541418,66.98551363768199,67.23826799511573,67.25493778955789
DependenceEntropy,4.314187961862226,3.549370540805355,5.872536533314358,4.62904439077385
DependenceNonUniformity,22.16300347988563,25.150951339553675,11.99883023105445,14.01018120698318
DependenceNonUniformityNormalized,19.762525699060653,23.219576739705616,8.83404340665674,19.584317686781798
DependenceVariance,21.387789335803724,44.1834474808099,19.80217265732771,33.420040024475725
GrayLevelNonUniformity.2,37.1485617005641,37.22282135633309,31.778114977785698,25.75579468819499
GrayLevelVariance.2,65.75052474499878,65.75260085349828,65.79564334113171,66.1182562470249
HighGrayLevelEmphasis,64.90854419295336,64.91927448393515,64.9779087207658,65.16249773753474
LargeDependenceEmphasis,18.83296706221678,34.73000796723612,16.60740868279295,30.952206316286258
LargeDependenceHighGrayLevelEmphasis,54.44875159407328,41.169565905350126,67.33201129642521,74.96316953902158
LargeDependenceLowGrayLevelEmphasis,56.71275875563161,64.0770501735303,46.51235842839818,48.99402824333086
LowGrayLevelEmphasis,35.58862386833745,36.065642373871,37.82612716679979,30.37776545405243
SmallDependenceEmphasis,14.958883871673974,18.12113780765533,13.816135046765154,22.686331669732418
SmallDependenceHighGrayLevelEmphasis,73.88752691532444,75.56173147620831,69.69385888033793,72.78904950316164
SmallDependenceLowGrayLevelEmphasis,22.030442177477926,19.909389517699744,35.81750758866254,36.178479982082905
