,Mean,Std,Lower CI value,Higher CI value
90Percentile,0.0976439581399037,0.349333136125561,-14.443155471869279,33.97194709985002
Energy,0.25528342921198177,0.7176885397236473,-24.204935534211085,75.26162137660744
Entropy,-0.01826809561152706,0.062070539296203535,-6.128078487481361,2.4744593651759494
Kurtosis,0.16176101673639326,0.27288424989789534,-2.733812077377684,35.08601542465634
Maximum,0.08354777057910234,0.4167745795612655,-20.52622782261619,37.23578193843666
MeanAbsoluteDeviation,0.14105258048116193,0.3974246484985894,-13.434865020358998,41.64538111659139
Mean,0.07752297370075983,0.35094811728631353,-16.567166400548818,32.07176114070079
Median,0.0028502310014915065,0.3716757376936819,-25.470791483370913,26.040837683669217
Minimum,0.0,0.0,0.0,0.0
Range,0.08354777057910234,0.4167745795612655,-20.52622782261619,37.23578193843666
RobustMeanAbsoluteDeviation,-0.004502825607385975,0.36457748748516405,-25.714213500272482,24.81364837879529
RootMeanSquared,0.14048528305511418,0.38363911443776594,-12.53630599052851,40.63336260155135
TotalEnergy,0.25416520645205165,0.7174624615677895,-24.30109139328974,75.13413268370007
Uniformity,0.09733973854536185,0.1405700770825649,-0.007035509689552744,19.47498321876192
Contrast,-0.07081023593988267,0.14321487001101407,-17.005307757638988,2.8432605696624536
DifferenceEntropy,-0.026355128746030246,0.0803478487533091,-8.203334727910187,2.9323089787041376
Id,0.06309985203244689,0.13667087151177434,-3.1608230003471043,15.780793406836482
Idm,0.08580395251965109,0.18320723152821258,-4.115218174084162,21.276008678014378
Idmn,0.004476150928890647,0.009251558512431143,-0.1934852036579858,1.088715389436115
Idn,0.008310406907530198,0.017257157183312534,-0.36481929034257854,2.026900671848618
Imc1,0.11411018869980658,0.2402904376296842,-5.24025892443816,28.062296664399476
Imc2,0.027071735792100995,0.06158057609088477,-1.5601426292273026,6.974489787647502
InverseVariance,0.03693530887112991,0.09388174836520231,-2.812142360958004,10.199204135183987
JointAverage,0.0032216757055649713,0.05874080686525811,-3.748362670389248,4.3926978115022415
JointEnergy,0.11536093895844493,0.5221670470159355,-24.648236370153533,47.72042416184252
JointEntropy,-0.010865730415553837,0.0708261909908187,-5.994577675207087,3.821431592096319
MCC,0.03036999081935286,0.10838250010584287,-4.473524995170447,10.54752315904102
MaximumProbability,0.03118778219965993,0.48534292605178614,-30.51377065282363,36.75132709275562
SumAverage,0.0032216757055659427,0.05874080686525706,-3.748362670389077,4.392697811502266
SumEntropy,0.0020002020942732385,0.019785980898482516,-1.1710783146156356,1.5711187334702832
GrayLevelNonUniformity,-0.08380748441976699,0.315235432637069,-30.225449426595464,13.463952542642064
LargeAreaEmphasis,0.2562017027092832,1.0908056904687342,-49.968807596428654,101.2091481382853
SizeZoneNonUniformity,-0.03452980275888001,0.43685197886923627,-33.725277945941535,26.81931739416553
SizeZoneNonUniformityNormalized,0.025824596665784356,0.11466009132243951,-5.363079287767011,10.527998620923881
SmallAreaEmphasis,0.014983459476614287,0.06102869738408648,-2.730727017530959,5.727418912853817
SmallAreaHighGrayLevelEmphasis,0.02483812307334942,0.07817311485535777,-2.9333081754934924,7.900932790163376
SmallAreaLowGrayLevelEmphasis,-0.026870901805918987,0.05886731742130732,-6.766387155800903,1.3922067946171055
ZoneEntropy,-0.0009040270473989992,0.021115969367767152,-1.5536647276049056,1.3728593181251056
ZonePercentage,-0.05643325343379961,0.34067729443183686,-29.251057402105673,17.96440671534575
ZoneVariance,0.256291597965128,1.09092075885768,-49.9677919033803,101.2261114964059
