,DCE,ADC,T1w,T2w,T1w Z,T2w Z
Idmn,0.4157509152439413,0.09550075474811576,0.8139748542029672,0.8427105024342402,0.020469455254841132,0.022569242263673184
Idn,0.7122889352373197,0.14719006729487846,1.3340051965364,1.6676659230725361,0.22490698572835496,0.19252650846800223
ShortRunEmphasis,1.0437843387942154,0.6564399765615774,1.1892121069075623,2.845014757461507,,
RunPercentage,1.4376286565725995,0.894974067043252,1.8217929230103653,4.315131307168622,,
RunLengthNonUniformityNormalized,2.6820013696782916,1.69769699487403,2.8148819444406405,,,
SmallAreaEmphasis,,,,4.571447453725,,
Imc2,,,,,0.9778611592151654,1.7078089078099676
MCC,,,,,0.9967932989051231,0.9510308040017124
Correlation,,,,,1.3720664493411867,
ZoneEntropy,,,,,,3.689487160341005
