,DCE,ADC,T1w,T2w,T1w Z,T2w Z,T1w Z effect,T2w Z effect
Maximum,1.0000000000000002,1.0,1.0,1.0,1.0000000000000002,1.0,0.05633746369299259,0.05633746369299259
Maximum2DDiameterColumn,0.9999999999999999,1.0,0.9999999999999999,1.0000000000000002,0.9999999999999999,1.0000000000000002,1.0,1.0
Maximum2DDiameterRow,1.0000000000000002,1.0000000000000004,1.0000000000000002,0.9999999999999989,1.0000000000000002,0.9999999999999989,1.0,1.0
Maximum2DDiameterSlice,1.0,0.9999999999999998,1.0,0.9999999999999996,1.0,0.9999999999999996,1.0,1.0
Maximum3DDiameter,0.9999999999999994,0.9999999999999998,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999994,1.0,1.0
MaximumProbability,0.12731069745976525,0.9598521079213596,0.446603252034635,0.3240952183382218,-0.01306710316677043,0.31794490683954235,0.11006431963765868,0.11006431963765868
Mean,1.0,0.9999999999999999,1.0,0.9999999999999998,1.0,1.0000000000000002,0.04662489361057484,0.04662489361057484
MeanAbsoluteDeviation,0.9999999999999998,1.0000000000000002,1.0,1.0,0.9999999999999998,1.0,0.04818606206805837,0.04818606206805837
Median,1.0,1.0,1.0,1.0,0.9999999999999998,1.0000000000000002,0.04547734120667819,0.04547734120667819
MeshVolume,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Minimum,1.0,,,,1.0000000000000007,1.0,-4.126327286218394e-15,-4.126327286218394e-15
MinorAxisLength,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Range,1.0,1.0,1.0,1.0,1.0,1.0,0.05626444134405768,0.05626444134405768
RobustMeanAbsoluteDeviation,0.9999999999999999,1.0,1.0000000000000002,1.0,1.0,1.0,0.048773331774133545,0.048773331774133545
RootMeanSquared,1.0000000000000004,1.0,1.0,1.0,1.0,1.0,0.04511869398325126,0.04511869398325126
RunEntropy,0.02509088830855785,0.012249820496509455,0.33870764824657423,0.20755234308283882,0.9382603205463449,0.8294747634149912,0.7367608799519891,0.7367608799519891
RunLengthNonUniformity,0.9638448100134838,0.987770414618314,0.8939068144044789,0.8788933462372387,0.05494229018475215,-0.022548721489322826,0.08606777010057612,0.08606777010057612
RunLengthNonUniformityNormalized,0.12030786226020383,0.09865129044549832,0.8853063566292606,0.8994692675759905,0.3200501726712244,0.5079733021740842,0.6830642761276347,0.6830642761276347
RunPercentage,0.1649242290043745,0.5629700043870528,0.8534731915939264,0.8595655729226916,0.3192561065364655,0.5141980896162516,0.5311911390710594,0.5311911390710594
RunVariance,0.16218555359279652,0.9434334318936751,0.333174343623307,0.360631696255092,0.07599953752056612,0.2635062728309283,0.014331410761359078,0.014331410761359078
ShortRunEmphasis,0.12414120526518341,0.11263578711032102,0.8400044374966201,0.8664352258373319,0.3039026931509499,0.5025069548942952,0.48111654615359567,0.48111654615359567
ShortRunHighGrayLevelEmphasis,0.0009756143846629324,9.655555724481996e-05,0.013136330437289366,0.017303906731953506,0.12206068050338835,0.032986824700123506,-0.04182920612144606,-0.04182920612144606
ShortRunLowGrayLevelEmphasis,0.03421266600826073,-0.0023814381726109195,0.06090921665389532,0.23535660243914647,0.288966540431476,0.45503080633707943,-0.2972961797733094,-0.2972961797733094
SizeZoneNonUniformity,0.5747882387064448,0.6928751296037424,0.40680013001715143,0.3921220501890681,-0.0890609959959625,0.14345082918823324,0.179894790477784,0.179894790477784
SizeZoneNonUniformityNormalized,0.013128922811894045,0.034172223869595966,0.6961290412323273,0.6953786456595126,0.005829045056993579,0.5244585018770314,-0.052407666644891306,-0.052407666644891306
Skewness,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SmallAreaEmphasis,0.0035907248110108383,0.01877311858565871,0.666097434868413,0.6848354536795553,0.013441109489189525,0.5124644317869262,-0.008543687185791956,-0.008543687185791956
SmallAreaHighGrayLevelEmphasis,-0.0017123310490566404,-0.0014163314288080802,0.015027603179781452,0.007965520097722657,0.11602629324353618,0.03203406758064227,0.1576410040661505,0.1576410040661505
SmallAreaLowGrayLevelEmphasis,-0.026447031380790718,0.0054933028141408964,0.017683441105420354,0.021514012988485993,0.16749866427593174,0.10654600726743983,-0.14610798261100938,-0.14610798261100938
SmallDependenceEmphasis,0.04936276413198751,0.0696097945446293,0.7883990964973525,0.8042191047945123,0.22349769862961777,0.31828218894131727,0.24801849990119468,0.24801849990119468
SmallDependenceHighGrayLevelEmphasis,-0.003701312541754767,-0.000697109366812619,0.09888287143313375,0.1146604713062728,0.039518303778225745,0.06300055930210836,0.09975167213352604,0.09975167213352604
SmallDependenceLowGrayLevelEmphasis,0.39870106029003116,0.15208974577830595,0.725733888192325,0.7578472401427692,0.757952868316408,0.9689028904154168,0.1129965107334021,0.1129965107334021
Sphericity,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0,1.0
Strength,0.14090096246366848,0.25909074531338294,0.2390664215620442,0.23625172275687312,0.12816994550696104,0.10095632721385978,0.07858322407843248,0.07858322407843248
SumAverage,0.004217623905869832,0.0015274796525217428,0.0282966783178498,0.036825264522790654,0.3862103242885178,0.00704276861956139,0.024945940296130665,0.024945940296130665
SumEntropy,0.009456479134165507,-0.004792639318737562,0.036628257566709864,0.035869012669168886,0.03261035069995589,0.3152684802590948,0.047634627939052765,0.047634627939052765
SumSquares,-0.0016182273528582121,-0.0012607046019835829,0.009764970992835,0.012711564725235,0.08148545218987117,0.15131887437631522,0.08316438504137252,0.08316438504137252
SurfaceArea,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SurfaceVolumeRatio,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,1.0
TotalEnergy,1.0,1.0,0.9999999999999998,0.9999999999999998,1.0,1.0,0.002639938236987552,0.002639938236987552
Uniformity,0.29353165990861735,0.6175753953576817,-0.058872127642499876,0.01713727300754661,-0.062364129975587185,-0.06336855496368024,0.9999999999995413,0.9999999999995413
Variance,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,1.0,0.0016368721414409943,0.0016368721414409943
VoxelVolume,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ZoneEntropy,0.12073009836828962,0.10649231720497085,0.10599875742827633,0.3054835921797775,0.1611701287874337,-0.08905260727478505,0.2538647897362812,0.2538647897362812
ZonePercentage,0.03733268660803926,0.049616800906228456,0.7558364505777718,0.7796403908108364,0.10345564508166918,0.2708883136837219,0.1699782587702373,0.1699782587702373
ZoneVariance,-0.00033086087413166445,0.00288002742073725,0.04471679767643742,0.08582709829346107,0.07864246062348738,0.12358533589461605,0.0020133733559288543,0.0020133733559288543
