,MEDIAN ADC,MEDIAN MPE,MEDIAN TTP,MEDIAN SUV
MEDIAN ADC,1.0,0.16281037203456836,0.28364342195569314,-0.16897414280092748
MEDIAN MPE,0.16281037203456836,1.0,0.06985338081432568,0.3083172068140639
MEDIAN TTP,0.28364342195569314,0.06985338081432568,1.0,-0.177920232071665
MEDIAN SUV,-0.16897414280092748,0.3083172068140639,-0.177920232071665,1.0
