,MEDIAN ADC,MEDIAN MPE,MEDIAN TTP,MEDIAN SUV
MEDIAN ADC,1.0,0.22363910870654524,-0.2657793880483185,0.40530540305550283
MEDIAN MPE,0.22363910870654524,1.0,-0.46243902769747797,0.2108681004050852
MEDIAN TTP,-0.2657793880483185,-0.46243902769747797,1.0,0.07901889836807971
MEDIAN SUV,0.40530540305550283,0.2108681004050852,0.07901889836807971,1.0
