,MEDIAN ADC,MEDIAN MPE,MEDIAN TTP,MEDIAN SUV
MEDIAN ADC,1.0,-0.1963260269946829,-0.44150945143004455,0.15963069608284322
MEDIAN MPE,-0.1963260269946829,1.0,0.03975493692578372,0.04210596201076264
MEDIAN TTP,-0.44150945143004455,0.03975493692578372,1.0,-0.19514372144031336
MEDIAN SUV,0.15963069608284322,0.04210596201076264,-0.19514372144031336,1.0
